,id_str,related_thiago
0,796453708515184641,1
1,796700488536391680,1
2,811665217880997888,1
3,812013126619119616,1
4,820692582661582848,1
5,821163345910841344,1
6,822742407636799489,1
7,822874692285407232,1
8,834529660822310913,1
9,839468969186770944,1
10,840319277559349248,1
11,841801770871492608,1
12,842890056285241345,1
13,850389005686501376,1
14,850502587736625152,1
15,854103382092648449,1
16,866398197299773444,1
17,923504675478835200,1
18,928707771490557952,1
19,932214262914781184,1
20,948667345253224448,1
21,955888025116004352,1
22,971220662059782144,1
23,971477216340119557,1
24,976192446257401856,1
25,976201931885633536,1
26,976242131726733312,1
27,981910861131366400,0
28,1055915744943357952,0
29,810583073259749376,0
30,811680109925019648,1
31,811840704963956736,1
32,816068717415120897,1
33,822908421150281728,1
34,826911525600387075,1
35,835227569758879748,1
36,838691052131389441,0
37,839237315868286976,1
38,839237546144116736,1
39,839280952077594624,1
40,839303718130573313,1
41,839303757678657537,1
42,851589280010981377,0
43,857216617092190208,1
44,861659917878513665,1
45,931600369637056512,1
46,962415723216883717,1
47,971522549321490437,1
48,971538453606338561,1
49,809555548588953600,0
50,810599741004386304,1
51,821108830197219329,1
52,828733249530843139,1
53,835153905881341953,1
54,835249287697137664,1
55,839251485691113473,1
56,839449004706430976,0
57,842882052928233472,1
58,842907843556728834,1
59,872089103143251970,1
60,931607609123188736,1
61,934051057566613504,1
62,951557827708960768,1
63,976196009318481920,1
64,982446589208924160,1
65,822596462546681856,1
66,838805352216936448,1
67,914237336313040901,1
68,803343063607287808,1
69,817800329874014208,1
70,829060896370548737,0
71,834592607623901185,1
72,877305987899805696,1
73,976235496371343361,1
74,805121993406316546,1
75,842528880388915201,0
76,842535420034519041,0
77,842535480679981056,0
78,891026836435517440,0
79,901426124806385665,0
80,901485815783538688,0
81,901602593419419648,0
82,901603189665009670,0
83,901623529279455234,0
84,919952261933096961,0
85,962260337570603008,0
86,973202931867627521,0
87,973384228657344514,0
88,973385165388042240,0
89,974023970130448386,0
90,"9,7421678370304E+017",0
91,974625193883766785,1
92,983852219303911425,0
93,1029011384539987968,0
94,796415265592332288,1
95,796437412062887939,1
96,796441131177410567,1
97,796442023482060800,1
98,796442228096958467,1
99,796443184977084425,1
100,796447636526137344,1
101,796447735889137665,1
102,796454543634657280,1
103,796458499299561474,1
104,796475875029958657,1
105,796494044889313281,1
106,796505697420722176,1
107,796536908943867904,1
108,796694854507954176,1
109,796810828683022336,1
110,796818242689961984,1
111,796832439893102593,1
112,797056226106306561,0
113,797106211434954752,0
114,797120188458078208,1
